Sobic.001G000100.1	Sb01g000200
Sobic.001G005200.2	Sb01g000570
Sobic.001G005200.3	Sb01g000570
Sobic.001G005200.4	Sb01g000570
Sobic.001G005300.1	Sb01g000580
Sobic.001G005500.1	Sb01g000590
Sobic.001G005600.1	Sb01g000600
Sobic.001G005700.1	Sb01g000610
Sobic.001G005800.1	Sb01g000620
Sobic.001G005900.1	Sb01g000630
Sobic.001G006000.1	Sb01g000640
Sobic.001G006101.1	Sb01g000650
Sobic.001G006201.1	Sb01g000660
Sobic.001G006300.1	Sb01g000670
Sobic.001G006500.1	Sb01g000690
Sobic.001G006600.1	Sb01g000696
Sobic.001G006600.2	Sb01g000696
Sobic.001G006700.2	Sb01g000700
Sobic.001G006700.3	Sb01g000700
Sobic.001G007000.1	Sb01g000720
Sobic.001G007000.2	Sb01g000720
Sobic.001G007200.2	Sb01g000730
Sobic.001G007200.3	Sb01g000730
Sobic.001G007300.1	Sb01g000740
Sobic.001G007400.1	Sb01g000750
Sobic.001G007500.1	Sb01g000760
Sobic.001G007600.1	Sb01g000770
Sobic.001G007800.1	Sb01g000780
Sobic.001G007900.1	Sb01g000790
Sobic.001G008100.1	Sb01g000810
Sobic.001G008200.1	Sb01g000820
Sobic.001G008300.1	Sb01g000830
Sobic.001G008300.2	Sb01g000830
Sobic.001G008400.1	Sb01g000840
Sobic.001G008400.2	Sb01g000840
Sobic.001G008500.1	Sb01g000850
Sobic.001G008600.1	Sb01g000860
Sobic.001G008700.1	Sb01g000870
Sobic.001G008700.2	Sb01g000870
Sobic.001G008800.1	Sb01g000880
Sobic.001G008900.1	Sb01g000890
Sobic.001G009200.1	Sb01g000900
Sobic.001G009300.1	Sb01g000910
Sobic.001G009300.2	Sb01g000910
Sobic.001G009400.1	Sb01g000920
Sobic.001G009500.3	Sb01g000930
Sobic.001G009600.1	Sb01g000940
Sobic.001G009700.1	Sb01g000950
Sobic.001G009800.1	Sb01g000960
Sobic.001G009900.1	Sb01g000970
Sobic.001G010000.1	Sb01g000980
Sobic.001G010100.1	Sb01g000990
Sobic.001G010200.1	Sb01g001000
Sobic.001G010200.2	Sb01g001000
Sobic.001G010300.1	Sb01g001010
Sobic.001G010400.1	Sb01g001020
Sobic.001G010500.1	Sb01g001030
Sobic.001G010600.1	Sb01g001040
Sobic.001G010700.1	Sb01g001050
Sobic.001G010800.1	Sb01g001060
Sobic.001G010900.1	Sb01g001070
Sobic.001G011000.1	Sb01g001080
Sobic.001G011200.1	Sb01g001100
Sobic.001G011300.1	Sb01g001110
Sobic.001G011400.1	Sb01g001120
Sobic.001G011400.2	Sb01g001120
Sobic.001G011600.1	Sb01g001130
Sobic.001G011600.2	Sb01g001130
Sobic.001G011700.1	Sb01g001140
Sobic.001G011800.1	Sb01g001150
Sobic.001G012000.1	Sb01g001160
Sobic.001G012100.1	Sb01g001170
Sobic.001G012100.2	Sb01g001170
Sobic.001G012100.3	Sb01g001170
Sobic.001G012200.1	Sb01g001180
Sobic.001G012300.1	Sb01g001200
Sobic.001G012400.1	Sb01g001220
Sobic.001G012500.1	Sb01g001230
Sobic.001G012500.2	Sb01g001230
Sobic.001G012600.1	Sb01g001240
Sobic.001G012600.2	Sb01g001240
Sobic.001G012700.1	Sb01g001250
Sobic.001G012800.1	Sb01g001260
Sobic.001G012800.2	Sb01g001260
Sobic.001G012900.1	Sb01g001270
Sobic.001G012900.2	Sb01g001270
Sobic.001G013000.1	Sb01g001280
Sobic.001G013000.2	Sb01g001280
Sobic.001G013000.3	Sb01g001280
Sobic.001G013100.1	Sb01g001290
Sobic.001G013200.1	Sb01g001300
Sobic.001G013300.1	Sb01g001310
Sobic.001G013500.1	Sb01g001330
Sobic.001G013600.1	Sb01g001340
Sobic.001G013800.1	Sb01g001350
Sobic.001G013800.2	Sb01g001350
Sobic.001G013900.1	Sb01g001360
Sobic.001G013900.2	Sb01g001360
Sobic.001G013900.3	Sb01g001360
Sobic.001G013900.4	Sb01g001360
Sobic.001G013900.5	Sb01g001360
Sobic.001G013900.6	Sb01g001360
Sobic.001G013900.7	Sb01g001360
Sobic.001G014000.1	Sb01g001370
Sobic.001G014000.2	Sb01g001370
Sobic.001G014000.3	Sb01g001370
Sobic.001G014100.1	Sb01g001380
Sobic.001G014100.2	Sb01g001380
Sobic.001G014200.5	Sb01g001390
Sobic.001G014200.6	Sb01g001390
Sobic.001G014200.7	Sb01g001390
Sobic.001G014300.13	Sb01g001400
Sobic.001G014300.14	Sb01g001400
Sobic.001G014300.15	Sb01g001400
Sobic.001G014300.16	Sb01g001400
Sobic.001G014300.17	Sb01g001400
Sobic.001G014300.18	Sb01g001400
Sobic.001G014300.19	Sb01g001400
Sobic.001G014300.20	Sb01g001400
Sobic.001G014300.21	Sb01g001400
Sobic.001G014300.22	Sb01g001400
Sobic.001G014500.1	Sb01g001420
Sobic.001G014500.2	Sb01g001420
Sobic.001G014700.1	Sb01g001430
Sobic.001G014800.1	Sb01g001440
Sobic.001G015000.1	Sb01g001460
Sobic.001G015100.2	Sb01g001470
Sobic.001G015100.3	Sb01g001470
Sobic.001G015100.4	Sb01g001470
Sobic.001G015200.1	Sb01g001480
Sobic.001G015300.1	Sb01g001490
Sobic.001G015400.1	Sb01g001500
Sobic.001G015500.1	Sb01g001520
Sobic.001G015500.2	Sb01g001520
Sobic.001G015500.3	Sb01g001520
Sobic.001G015600.1	Sb01g001530
Sobic.001G015700.1	Sb01g001540
Sobic.001G015800.1	Sb01g001550
Sobic.001G016000.1	Sb01g001560
Sobic.001G016000.2	Sb01g001560
Sobic.001G016100.1	Sb01g001570
Sobic.001G016200.1	Sb01g001590
Sobic.001G016201.1	Sb01g001580
Sobic.001G016400.1	Sb01g001600
Sobic.001G016500.1	Sb01g001610
Sobic.001G016600.2	Sb01g001615
Sobic.001G016600.3	Sb01g001615
Sobic.001G016600.4	Sb01g001615
Sobic.001G016600.5	Sb01g001615
Sobic.001G016600.6	Sb01g001615
Sobic.001G016700.1	Sb01g001620
Sobic.001G016700.2	Sb01g001620
Sobic.001G016900.1	Sb01g001640
Sobic.001G016900.2	Sb01g001640
Sobic.001G016900.3	Sb01g001640
Sobic.001G016900.4	Sb01g001640
Sobic.001G017000.1	Sb01g001650
Sobic.001G017100.2	Sb01g001660
Sobic.001G017100.4	Sb01g001660
Sobic.001G017100.5	Sb01g001660
Sobic.001G017200.1	Sb01g001670
Sobic.001G017300.1	Sb01g001680
Sobic.001G017400.1	Sb01g001690
Sobic.001G017500.1	Sb01g001700
Sobic.001G017600.1	Sb01g001710
Sobic.001G017600.10	Sb01g001710
Sobic.001G017600.11	Sb01g001710
Sobic.001G017600.5	Sb01g001710
Sobic.001G017600.6	Sb01g001710
Sobic.001G017600.7	Sb01g001710
Sobic.001G017600.8	Sb01g001710
Sobic.001G017600.9	Sb01g001710
Sobic.001G017700.1	Sb01g001720
Sobic.001G017700.2	Sb01g001720
Sobic.001G017900.1	Sb01g001740
Sobic.001G018000.1	Sb01g001750
Sobic.001G018100.1	Sb01g001760
Sobic.001G018200.1	Sb01g001770
Sobic.001G018300.1	Sb01g001780
Sobic.001G018350.1	Sb01g001790
Sobic.001G018400.1	Sb01g001800
Sobic.001G018500.1	Sb01g001810
Sobic.001G018600.1	Sb01g001820
Sobic.001G018700.1	Sb01g001830
Sobic.001G018800.1	Sb01g001840
Sobic.001G018900.1	Sb01g001850
Sobic.001G019100.1	Sb01g001860
Sobic.001G019200.1	Sb01g001870
Sobic.001G019300.1	Sb01g001880
Sobic.001G019400.1	Sb01g001890
Sobic.001G019700.1	Sb01g001900
Sobic.001G019800.1	Sb01g001905
Sobic.001G019800.2	Sb01g001905
Sobic.001G019900.1	Sb01g001920
Sobic.001G020000.1	Sb01g001930
Sobic.001G020000.2	Sb01g001930
Sobic.001G020100.3	Sb01g001940
Sobic.001G020100.4	Sb01g001940
Sobic.001G020500.1	Sb01g001980
Sobic.001G020600.1	Sb01g001990
Sobic.001G020600.2	Sb01g001990
Sobic.001G020700.1	Sb01g002000
Sobic.001G020700.2	Sb01g002000
Sobic.001G021000.1	Sb01g002020
Sobic.001G021000.2	Sb01g002020
Sobic.001G021500.1	Sb01g002050
Sobic.001G021700.1	Sb01g002060
Sobic.001G021800.1	Sb01g002070
Sobic.001G021900.1	Sb01g002080
Sobic.001G021900.2	Sb01g002080
Sobic.001G022000.1	Sb01g002090
Sobic.001G022000.2	Sb01g002090
Sobic.001G022100.1	Sb01g002100
Sobic.001G022100.2	Sb01g002100
Sobic.001G022100.3	Sb01g002100
Sobic.001G022300.1	Sb01g002120
Sobic.001G022400.1	Sb01g002130
Sobic.001G022500.1	Sb01g002140
Sobic.001G022600.1	Sb01g002150
Sobic.001G022600.2	Sb01g002150
Sobic.001G022700.1	Sb01g002160
Sobic.001G022800.1	Sb01g002170
Sobic.001G022900.1	Sb01g002180
Sobic.001G023000.2	Sb01g002190
Sobic.001G023100.1	Sb01g002200
Sobic.001G023200.1	Sb01g002210
Sobic.001G023200.2	Sb01g002210
Sobic.001G023200.3	Sb01g002210
Sobic.001G023400.2	Sb01g002230
Sobic.001G023400.3	Sb01g002230
Sobic.001G023500.1	Sb01g002240
Sobic.001G023500.2	Sb01g002240
Sobic.001G023500.3	Sb01g002240
Sobic.001G023600.1	Sb01g002250
Sobic.001G023900.1	Sb01g002270
Sobic.001G023900.2	Sb01g002270
Sobic.001G024000.1	Sb01g002280
Sobic.001G024100.1	Sb01g002290
Sobic.001G024200.1	Sb01g002300
Sobic.001G024300.1	Sb01g002320
Sobic.001G024400.1	Sb01g002330
Sobic.001G024500.1	Sb01g002340
Sobic.001G024500.2	Sb01g002340
Sobic.001G024700.1	Sb01g002360
Sobic.001G024800.1	Sb01g002370
Sobic.001G024900.1	Sb01g002380
Sobic.001G025000.1	Sb01g002390
Sobic.001G025000.2	Sb01g002390
Sobic.001G025300.1	Sb01g002410
Sobic.001G025300.2	Sb01g002410
Sobic.001G025400.1	Sb01g002420
Sobic.001G025400.2	Sb01g002420
Sobic.001G025500.1	Sb01g002430
Sobic.001G025500.2	Sb01g002430
Sobic.001G025500.3	Sb01g002430
Sobic.001G025600.1	Sb01g002440
Sobic.001G025700.1	Sb01g002450
Sobic.001G025800.1	Sb01g002460
Sobic.001G025900.1	Sb01g002470
Sobic.001G025900.2	Sb01g002470
Sobic.001G026000.1	Sb01g002480
Sobic.001G026100.1	Sb01g002490
Sobic.001G026300.1	Sb01g002510
Sobic.001G026400.1	Sb01g002520
Sobic.001G026500.1	Sb01g002530
Sobic.001G026700.1	Sb01g002540
Sobic.001G026800.1	Sb01g002550
Sobic.001G026800.2	Sb01g002550
Sobic.001G027000.1	Sb01g002570
Sobic.001G027300.1	Sb01g002590
Sobic.001G027500.1	Sb01g002600
Sobic.001G027600.1	Sb01g002610
Sobic.001G027700.1	Sb01g002620
Sobic.001G027900.1	Sb01g002640
Sobic.001G028000.1	Sb01g002650
Sobic.001G028100.1	Sb01g002660
Sobic.001G028100.2	Sb01g002660
Sobic.001G028400.1	Sb01g002680
Sobic.001G028500.1	Sb01g002690
Sobic.001G028500.2	Sb01g002690
Sobic.001G028600.1	Sb01g002700
Sobic.001G028700.1	Sb01g002710
Sobic.001G028800.1	Sb01g002720
Sobic.001G029000.1	Sb01g002730
Sobic.001G029100.2	Sb01g002740
Sobic.001G029100.3	Sb01g002740
Sobic.001G029100.4	Sb01g002740
Sobic.001G029200.1	Sb01g002750
Sobic.001G029300.1	Sb01g002760
Sobic.001G029300.2	Sb01g002760
Sobic.001G029300.3	Sb01g002760
Sobic.001G029300.4	Sb01g002760
Sobic.001G029300.5	Sb01g002760
Sobic.001G029400.1	Sb01g002770
Sobic.001G029500.1	Sb01g002775
Sobic.001G029600.1	Sb01g002780
Sobic.001G029700.1	Sb01g002785
Sobic.001G029800.1	Sb01g002790
Sobic.001G029800.2	Sb01g002790
Sobic.001G029800.3	Sb01g002790
Sobic.001G029800.4	Sb01g002790
Sobic.001G029800.5	Sb01g002790
Sobic.001G029900.1	Sb01g002800
Sobic.001G030000.1	Sb01g002810
Sobic.001G030000.2	Sb01g002810
Sobic.001G030100.1	Sb01g002820
Sobic.001G030200.1	Sb01g002830
Sobic.001G030200.2	Sb01g002830
Sobic.001G030300.1	Sb01g002840
Sobic.001G030400.1	Sb01g002850
Sobic.001G030400.2	Sb01g002850
Sobic.001G030500.1	Sb01g002860
Sobic.001G030600.1	Sb01g002870
Sobic.001G031000.1	Sb01g002900
Sobic.001G031100.1	Sb01g002910
Sobic.001G031200.1	Sb01g002920
Sobic.001G031200.2	Sb01g002920
Sobic.001G031300.1	Sb01g002930
Sobic.001G031400.1	Sb01g002940
Sobic.001G031600.1	Sb01g002950
Sobic.001G031700.1	Sb01g002960
Sobic.001G031800.1	Sb01g002970
Sobic.001G031900.2	Sb01g002980
Sobic.001G032000.1	Sb01g002990
Sobic.001G032100.1	Sb01g003000
Sobic.001G032300.1	Sb01g003020
Sobic.001G032400.1	Sb01g003030
Sobic.001G032700.10	Sb01g003060
Sobic.001G032700.11	Sb01g003060
Sobic.001G032700.12	Sb01g003060
Sobic.001G032700.13	Sb01g003060
Sobic.001G032700.14	Sb01g003060
Sobic.001G032700.6	Sb01g003060
Sobic.001G032700.7	Sb01g003060
Sobic.001G032700.8	Sb01g003060
Sobic.001G032700.9	Sb01g003060
Sobic.001G032800.1	Sb01g003070
Sobic.001G032900.1	Sb01g003080
Sobic.001G033000.1	Sb01g003090
Sobic.001G033000.2	Sb01g003090
Sobic.001G033000.3	Sb01g003090
Sobic.001G033100.1	Sb01g003100
Sobic.001G033100.2	Sb01g003100
Sobic.001G033200.3	Sb01g003110
Sobic.001G033200.4	Sb01g003110
Sobic.001G033300.1	Sb01g003120
Sobic.001G033400.1	Sb01g003130
Sobic.001G033500.1	Sb01g003140
Sobic.001G033600.2	Sb01g003150
Sobic.001G033600.3	Sb01g003150
Sobic.001G033701.1	Sb01g003160
Sobic.001G034000.1	Sb01g003180
Sobic.001G034000.2	Sb01g003180
Sobic.001G034100.1	Sb01g003190
Sobic.001G034300.1	Sb01g003210
Sobic.001G034300.2	Sb01g003210
Sobic.001G034300.3	Sb01g003210
Sobic.001G034400.1	Sb01g003220
Sobic.001G034500.1	Sb01g003230
Sobic.001G034700.1	Sb01g003250
Sobic.001G034900.1	Sb01g003260
Sobic.001G034900.2	Sb01g003260
Sobic.001G035000.1	Sb01g003270
Sobic.001G035100.1	Sb01g003280
Sobic.001G035200.1	Sb01g003290
Sobic.001G035200.2	Sb01g003290
Sobic.001G035300.1	Sb01g003300
Sobic.001G035400.1	Sb01g003310
Sobic.001G035500.1	Sb01g003320
Sobic.001G035500.2	Sb01g003320
Sobic.001G035500.3	Sb01g003320
Sobic.001G035500.4	Sb01g003320
Sobic.001G035600.1	Sb01g003330
Sobic.001G035800.1	Sb01g003340
Sobic.001G035900.2	Sb01g003350
Sobic.001G035900.3	Sb01g003350
Sobic.001G035900.4	Sb01g003350
Sobic.001G035900.5	Sb01g003350
Sobic.001G035900.6	Sb01g003350
Sobic.001G035900.7	Sb01g003350
Sobic.001G036200.1	Sb01g003370
Sobic.001G036300.1	Sb01g003380
Sobic.001G036700.1	Sb01g003390
Sobic.001G036800.1	Sb01g003400
Sobic.001G036900.1	Sb01g003410
Sobic.001G037000.1	Sb01g003420
Sobic.001G037400.1	Sb01g003440
Sobic.001G037500.2	Sb01g003450
Sobic.001G037500.3	Sb01g003450
Sobic.001G037500.4	Sb01g003450
Sobic.001G037700.1	Sb01g003460
Sobic.001G037800.2	Sb01g003470
Sobic.001G037900.1	Sb01g003480
Sobic.001G038100.1	Sb01g003500
Sobic.001G038200.1	Sb01g003510
Sobic.001G038300.1	Sb01g003520
Sobic.001G038400.1	Sb01g003530
Sobic.001G038500.1	Sb01g003540
Sobic.001G038700.1	Sb01g003560
Sobic.001G038700.2	Sb01g003560
Sobic.001G038800.1	Sb01g003570
Sobic.001G038900.1	Sb01g003580
Sobic.001G039000.1	Sb01g003590
Sobic.001G039100.1	Sb01g003600
Sobic.001G039200.1	Sb01g003610
Sobic.001G039300.1	Sb01g003620
Sobic.001G039500.2	Sb01g003640
Sobic.001G039600.1	Sb01g003650
Sobic.001G039700.1	Sb01g003660
Sobic.001G039800.1	Sb01g003670
Sobic.001G039900.1	Sb01g003680
Sobic.001G040100.1	Sb01g003700
Sobic.001G040200.1	Sb01g003710
Sobic.001G040300.1	Sb01g003720
Sobic.001G040500.1	Sb01g003740
Sobic.001G040500.2	Sb01g003740
Sobic.001G040500.3	Sb01g003740
Sobic.001G040600.1	Sb01g003750
Sobic.001G040600.2	Sb01g003750
Sobic.001G040600.3	Sb01g003750
Sobic.001G040800.1	Sb01g003770
Sobic.001G040900.1	Sb01g003775
Sobic.001G041000.1	Sb01g003780
Sobic.001G041100.1	Sb01g003790
Sobic.001G041200.1	Sb01g003800
Sobic.001G041300.1	Sb01g003810
Sobic.001G041400.1	Sb01g003820
Sobic.001G041500.1	Sb01g003830
Sobic.001G041500.2	Sb01g003830
Sobic.001G041500.3	Sb01g003830
Sobic.001G041600.1	Sb01g003840
Sobic.001G041700.3	Sb01g003850
Sobic.001G041700.4	Sb01g003850
Sobic.001G041800.1	Sb01g003860
Sobic.001G041900.1	Sb01g003870
Sobic.001G041900.2	Sb01g003870
Sobic.001G042000.1	Sb01g003880
Sobic.001G042100.1	Sb01g003890
Sobic.001G042200.1	Sb01g003900
Sobic.001G042200.2	Sb01g003900
Sobic.001G042400.1	Sb01g003905
Sobic.001G042500.1	Sb01g003910
Sobic.001G042700.1	Sb01g003930
Sobic.001G042800.1	Sb01g003940
Sobic.001G042800.2	Sb01g003940
Sobic.001G042901.1	Sb01g003950
Sobic.001G043000.1	Sb01g003960
Sobic.001G043200.1	Sb01g003980
Sobic.001G043300.1	Sb01g003990
Sobic.001G043400.1	Sb01g004000
Sobic.001G043601.1	Sb01g004016
Sobic.001G043700.3	Sb01g004020
Sobic.001G043800.1	Sb01g004030
Sobic.001G043900.1	Sb01g004040
Sobic.001G044000.1	Sb01g004050
Sobic.001G044100.1	Sb01g004060
Sobic.001G044300.10	Sb01g004080
Sobic.001G044300.11	Sb01g004080
Sobic.001G044300.7	Sb01g004080
Sobic.001G044300.8	Sb01g004080
Sobic.001G044300.9	Sb01g004080
Sobic.001G044400.1	Sb01g004090
Sobic.001G044600.2	Sb01g004110
Sobic.001G044600.3	Sb01g004110
Sobic.001G044600.4	Sb01g004110
Sobic.001G044600.5	Sb01g004110
Sobic.001G044600.6	Sb01g004110
Sobic.001G044700.1	Sb01g004120
Sobic.001G044800.1	Sb01g004130
Sobic.001G044800.2	Sb01g004130
Sobic.001G044900.1	Sb01g004140
Sobic.001G045000.1	Sb01g004150
Sobic.001G045100.1	Sb01g004160
Sobic.001G045300.1	Sb01g004180
Sobic.001G045400.1	Sb01g004190
Sobic.001G045500.1	Sb01g004195
Sobic.001G045600.1	Sb01g004200
Sobic.001G045700.1	Sb01g004210
Sobic.001G045800.1	Sb01g004220
Sobic.001G045900.1	Sb01g004230
Sobic.001G046000.1	Sb01g004240
Sobic.001G046100.1	Sb01g004250
Sobic.001G046300.1	Sb01g004260
Sobic.001G046400.1	Sb01g004270
Sobic.001G046900.1	Sb01g004330
Sobic.001G047000.1	Sb01g004340
Sobic.001G047100.1	Sb01g004350
Sobic.001G047200.1	Sb01g004360
Sobic.001G047400.2	Sb01g004370
Sobic.001G047400.3	Sb01g004370
Sobic.001G047600.1	Sb01g004375
Sobic.001G047700.1	Sb01g004380
Sobic.001G047800.1	Sb01g004390
Sobic.001G047800.2	Sb01g004390
Sobic.001G047900.1	Sb01g004400
Sobic.001G048000.1	Sb01g004410
Sobic.001G048000.2	Sb01g004410
Sobic.001G048000.3	Sb01g004410
Sobic.001G048100.1	Sb01g004420
Sobic.001G048100.2	Sb01g004420
Sobic.001G048400.1	Sb01g004440
Sobic.001G048600.1	Sb01g004450
Sobic.001G048700.1	Sb01g004460
Sobic.001G048766.1	Sb01g004470
Sobic.001G048900.1	Sb01g004490
Sobic.001G048900.2	Sb01g004490
Sobic.001G048900.3	Sb01g004490
Sobic.001G048900.4	Sb01g004490
Sobic.001G049000.1	Sb01g004500
Sobic.001G049200.1	Sb01g004510
Sobic.001G049200.2	Sb01g004510
Sobic.001G049300.1	Sb01g004520
Sobic.001G049300.2	Sb01g004520
Sobic.001G049400.1	Sb01g004530
Sobic.001G049400.2	Sb01g004530
Sobic.001G049400.3	Sb01g004530
Sobic.001G049500.1	Sb01g004540
Sobic.001G049500.2	Sb01g004540
Sobic.001G049600.1	Sb01g004550
Sobic.001G049700.1	Sb01g004560
Sobic.001G050000.1	Sb01g004580
Sobic.001G050100.1	Sb01g004590
Sobic.001G050300.1	Sb01g004610
Sobic.001G050400.1	Sb01g004620
Sobic.001G050400.2	Sb01g004620
Sobic.001G050400.3	Sb01g004620
Sobic.001G050500.1	Sb01g004630
Sobic.001G050600.1	Sb01g004640
Sobic.001G050600.2	Sb01g004640
Sobic.001G050600.3	Sb01g004640
Sobic.001G050800.1	Sb01g004660
Sobic.001G050900.1	Sb01g004670
Sobic.001G050900.2	Sb01g004670
Sobic.001G051100.1	Sb01g004690
Sobic.001G051200.1	Sb01g004700
Sobic.001G051300.1	Sb01g004710
Sobic.001G051400.1	Sb01g004720
Sobic.001G051400.2	Sb01g004720
Sobic.001G051500.1	Sb01g004730
Sobic.001G051600.1	Sb01g004740
Sobic.001G051700.1	Sb01g004750
Sobic.001G051800.1	Sb01g004760
Sobic.001G052000.1	Sb01g004766
Sobic.001G052000.2	Sb01g004766
Sobic.001G052000.3	Sb01g004766
Sobic.001G052000.4	Sb01g004766
Sobic.001G052100.1	Sb01g004770
Sobic.001G052100.2	Sb01g004770
Sobic.001G052100.3	Sb01g004770
Sobic.001G052200.1	Sb01g004780
Sobic.001G052300.1	Sb01g004790
Sobic.001G052400.2	Sb01g004800
Sobic.001G052400.3	Sb01g004800
Sobic.001G052500.1	Sb01g004810
Sobic.001G052700.1	Sb01g004840
Sobic.001G052800.1	Sb01g004855
Sobic.001G052900.1	Sb01g004860
Sobic.001G053000.1	Sb01g004870
Sobic.001G053200.4	Sb01g004880
Sobic.001G053500.1	Sb01g004910
Sobic.001G053800.1	Sb01g004930
Sobic.001G053900.2	Sb01g004940
Sobic.001G053900.3	Sb01g004940
Sobic.001G054000.1	Sb01g004950
Sobic.001G054100.1	Sb01g004960
Sobic.001G054200.1	Sb01g004970
Sobic.001G054300.1	Sb01g004980
Sobic.001G054600.1	Sb01g004990
Sobic.001G054700.1	Sb01g005000
Sobic.001G054900.1	Sb01g005020
Sobic.001G055100.1	Sb01g005035
Sobic.001G055300.1	Sb01g005050
Sobic.001G055600.1	Sb01g005080
Sobic.001G055900.1	Sb01g005090
Sobic.001G055900.2	Sb01g005090
Sobic.001G056000.1	Sb01g005100
Sobic.001G056100.1	Sb01g005110
Sobic.001G056200.1	Sb01g005120
Sobic.001G056300.1	Sb01g005130
Sobic.001G056300.2	Sb01g005130
Sobic.001G056400.1	Sb01g005140
Sobic.001G056500.1	Sb01g005150
Sobic.001G056601.1	Sb01g005160
Sobic.001G056601.2	Sb01g005160
Sobic.001G056700.1	Sb01g005170
Sobic.001G056800.1	Sb01g005180
Sobic.001G057100.1	Sb01g005190
Sobic.001G057200.1	Sb01g005200
Sobic.001G057300.1	Sb01g005210
Sobic.001G057400.1	Sb01g005220
Sobic.001G057500.1	Sb01g005230
Sobic.001G057600.1	Sb01g005240
Sobic.001G057700.1	Sb01g005250
Sobic.001G057800.1	Sb01g005260
Sobic.001G057900.1	Sb01g005270
Sobic.001G058100.1	Sb01g005280
Sobic.001G058200.3	Sb01g005290
Sobic.001G058200.4	Sb01g005290
Sobic.001G058200.5	Sb01g005290
Sobic.001G058200.6	Sb01g005290
Sobic.001G058300.1	Sb01g005300
Sobic.001G058400.1	Sb01g005310
Sobic.001G058500.1	Sb01g005320
Sobic.001G058600.1	Sb01g005330
Sobic.001G058700.1	Sb01g005340
Sobic.001G058800.1	Sb01g005350
Sobic.001G058900.1	Sb01g005360
Sobic.001G059100.1	Sb01g005370
Sobic.001G059100.2	Sb01g005370
Sobic.001G059100.3	Sb01g005370
Sobic.001G059200.1	Sb01g005380
Sobic.001G059200.2	Sb01g005380
Sobic.001G059300.1	Sb01g005390
Sobic.001G059400.1	Sb01g005400
Sobic.001G059500.1	Sb01g005410
Sobic.001G059600.1	Sb01g005420
Sobic.001G059800.1	Sb01g005440
Sobic.001G059900.1	Sb01g005450
Sobic.001G060100.1	Sb01g005460
Sobic.001G060100.2	Sb01g005460
Sobic.001G060100.3	Sb01g005460
Sobic.001G060100.4	Sb01g005460
Sobic.001G060100.5	Sb01g005460
Sobic.001G060300.1	Sb01g005470
Sobic.001G060500.1	Sb01g005500
Sobic.001G060500.2	Sb01g005500
Sobic.001G060600.1	Sb01g005510
Sobic.001G060800.1	Sb01g005520
Sobic.001G060900.1	Sb01g005530
Sobic.001G061000.1	Sb01g005540
Sobic.001G061200.1	Sb01g005550
Sobic.001G061400.1	Sb01g005560
Sobic.001G061500.1	Sb01g005570
Sobic.001G061500.2	Sb01g005570
Sobic.001G061600.1	Sb01g005580
Sobic.001G061700.1	Sb01g005590
Sobic.001G061800.1	Sb01g005600
Sobic.001G061800.2	Sb01g005600
Sobic.001G061900.1	Sb01g005610
Sobic.001G062066.1	Sb01g005620
Sobic.001G062132.1	Sb01g005630
Sobic.001G062300.1	Sb01g005650
Sobic.001G062500.1	Sb01g005670
Sobic.001G062500.2	Sb01g005670
Sobic.001G062600.1	Sb01g005680
